ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,21.242,21.242,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:110(run_analysis)
80,0.004,0.000,14.020,0.175,/usr/lib/python3.11/site-packages/urllib3/connectionpool.py:534(urlopen)
80,0.003,0.000,13.967,0.175,/usr/lib/python3.11/site-packages/urllib3/connectionpool.py:379(_make_request)
81,0.001,0.000,13.913,0.172,/usr/lib/python3.11/http/client.py:1342(getresponse)
52,0.001,0.000,13.913,0.268,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:326(execute)
81,0.002,0.000,13.909,0.172,/usr/lib/python3.11/http/client.py:318(begin)
52,0.001,0.000,13.907,0.267,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/remote_connection.py:272(execute)
52,0.002,0.000,13.903,0.267,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/remote_connection.py:292(_request)
52,0.001,0.000,13.894,0.267,/usr/lib/python3.11/site-packages/urllib3/request.py:61(request)
52,0.001,0.000,13.893,0.267,/usr/lib/python3.11/site-packages/urllib3/poolmanager.py:353(urlopen)
81,0.003,0.000,13.866,0.171,/usr/lib/python3.11/http/client.py:285(_read_status)
82,0.001,0.000,13.863,0.169,/usr/lib/python3.11/socket.py:692(readinto)
620,0.002,0.000,13.863,0.022,{method 'readline' of '_io.BufferedReader' objects}
82,13.862,0.169,13.862,0.169,{method 'recv_into' of '_socket.socket' objects}
50,0.000,0.000,13.813,0.276,/usr/lib/python3.11/site-packages/urllib3/request.py:101(request_encode_body)
1,0.000,0.000,10.811,10.811,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:207(load_page)
1,0.000,0.000,10.811,10.811,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:353(get)
1,0.000,0.000,6.594,6.594,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:166(__start_constraint_extraction)
6,0.000,0.000,4.790,0.798,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:37(generate_inputs)
6,0.000,0.000,4.790,0.798,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:54(__generate_valid_inputs)
1,0.000,0.000,3.735,3.735,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:143(__analyse_html)
1,0.004,0.004,3.716,3.716,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/html_analysis.py:296(select_form)
1,3.710,3.710,3.710,3.710,{built-in method builtins.input}
18,0.000,0.000,3.707,0.206,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:615(solve)
1043/377,0.012,0.000,3.414,0.009,{built-in method _functools.reduce}
355/132,0.001,0.000,3.408,0.026,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:844(chain_functions)
9319/1068,0.009,0.000,3.405,0.003,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:848(<lambda>)
9331/1080,0.019,0.000,3.404,0.003,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:757(__add__)
9319/1068,0.005,0.000,3.399,0.003,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:732(lazy_mplus)
6,0.000,0.000,3.356,0.559,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:1642(eliminate_all_semantic_formulas)
