ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,60.629,60.629,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:110(run_analysis)
1,0.0,0.0,45.107,45.107,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:166(__start_constraint_extraction)
6,0.0,0.0,41.646,6.941,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:37(generate_inputs)
6,0.0,0.0,41.645,6.941,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:56(__generate_valid_inputs)
18,0.0,0.0,41.041,2.28,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:94(__get_value)
3,0.0,0.0,39.827,13.276,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:213(find_js_constraint_candidates)
1,0.0,0.0,7.869,7.869,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:205(load_page)
1,0.0,0.0,5.386,5.386,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:143(__analyse_html)
1,0.0,0.0,5.384,5.384,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:278(select_form)
3,0.0,0.0,4.967,1.656,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:178(set_valid_value_sequence)
3,0.0,0.0,4.966,1.655,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:262(__set_magic_value_sequence_for_input)
3,0.0,0.0,3.146,1.049,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:225(__get_constraint_candidates_for_value_sequence)
15,0.0,0.0,2.762,0.184,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:290(__attempt_submit)
