ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
18,0.0,0.0,3.707,0.206,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:615(solve)
355/132,0.001,0.0,3.408,0.026,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:844(chain_functions)
9319/1068,0.009,0.0,3.405,0.003,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:848(<lambda>)
9331/1080,0.019,0.0,3.404,0.003,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:757(__add__)
9319/1068,0.005,0.0,3.399,0.003,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:732(lazy_mplus)
6,0.0,0.0,3.356,0.559,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:1642(eliminate_all_semantic_formulas)
6,0.001,0.0,3.355,0.559,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2225(eliminate_semantic_formula)
6,0.0,0.0,2.97,0.495,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2314(<listcomp>)
6,0.002,0.0,2.97,0.495,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2351(solve_quantifier_free_formula)
60,0.005,0.0,2.934,0.049,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2445(solve_smt_formulas_with_language_constraints)
60,0.0,0.0,1.514,0.025,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2568(<dictcomp>)
60,0.0,0.0,1.513,0.025,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2701(extract_model_value)
60,0.0,0.0,1.513,0.025,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2869(extract_model_value_numeric_var)
60,0.0,0.0,1.512,0.025,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2921(extract_model_value_length_var)
60,0.004,0.0,1.512,0.025,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2640(safe_create_fixed_length_tree)
