ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,16.379,16.379,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:99(run_analysis)
72,0.002,0.000,9.547,0.133,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
73,0.000,0.000,9.538,0.131,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
73,0.001,0.000,9.535,0.131,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
72,0.001,0.000,9.523,0.132,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
73,0.001,0.000,9.520,0.130,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
500,0.001,0.000,9.519,0.019,{method 'readline' of '_io.BufferedReader' objects}
86,0.000,0.000,9.518,0.111,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
86,9.518,0.111,9.518,0.111,{method 'recv_into' of '_socket.socket' objects}
54,0.000,0.000,9.473,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
54,0.001,0.000,9.471,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
54,0.001,0.000,9.469,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
54,0.000,0.000,9.464,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
54,0.001,0.000,9.463,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
52,0.000,0.000,9.368,0.180,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.000,0.000,6.195,6.195,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:212(load_page)
1,0.000,0.000,6.195,6.195,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
1,0.000,0.000,4.053,4.053,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:182(__start_constraint_extraction)
1,0.000,0.000,3.797,3.797,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:159(__analyse_html)
1,0.000,0.000,3.794,3.794,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:327(select_form)
1,3.791,3.791,3.791,3.791,{built-in method builtins.input}
24,2.541,0.106,2.541,0.106,{method 'connect' of '_socket.socket' objects}
3,0.000,0.000,2.538,0.846,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:808(create_connection)
2,0.000,0.000,2.537,1.269,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:112(is_connectable)
2,0.000,0.000,2.537,1.269,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\utils.py:94(is_connectable)
3,0.000,0.000,2.520,0.840,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
1,0.000,0.000,2.320,2.320,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:335(__exit)
