ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,281.171,281.171,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:110(run_analysis)
1,0.0,0.0,267.809,267.809,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:166(__start_constraint_extraction)
20,0.0,0.0,254.937,12.747,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:37(generate_inputs)
20,0.001,0.0,254.937,12.747,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:54(__generate_valid_inputs)
10,0.0,0.0,134.443,13.444,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:178(set_valid_value_sequence)
9,0.0,0.0,134.375,14.931,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:261(__set_magic_value_sequence_for_input)
10,0.0,0.0,131.921,13.192,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:212(find_js_constraint_candidates)
10,0.002,0.0,11.424,1.142,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:224(__get_constraint_candidates_for_value_sequence)
1,0.0,0.0,9.089,9.089,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/evaluation/drupal.py:16(setup)
60,0.003,0.0,9.021,0.15,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:277(write_to_web_element_by_reference_with_clear)
1,0.0,0.0,6.839,6.839,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:207(load_page)
1,0.0,0.0,6.42,6.42,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:143(__analyse_html)
1,0.001,0.001,6.407,6.407,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/html_analysis.py:324(extract_static_constraints)
113,0.0,0.0,5.807,0.051,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:223(click_web_element)
50,0.002,0.0,3.414,0.068,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:289(__attempt_submit)
30,0.0,0.0,3.277,0.109,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:323(write_to_checkbox_with_clear)
50,0.0,0.0,3.071,0.061,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:263(click_web_element_by_reference)
