ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,88.224,88.224,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.000,0.000,55.409,55.409,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:152(__analyse_html)
1,0.003,0.003,55.383,55.383,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:327(select_form)
1,55.371,55.371,55.371,55.371,{built-in method builtins.input}
30,0.000,0.000,31.457,1.049,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
30,0.000,0.000,31.456,1.049,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
101,0.000,0.000,31.450,0.311,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
101,31.450,0.311,31.450,0.311,{method 'recv_into' of '_socket.socket' objects}
30,0.001,0.000,31.447,1.048,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
208,0.001,0.000,31.447,0.151,{method 'readline' of '_io.BufferedReader' objects}
29,0.001,0.000,31.398,1.083,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
29,0.001,0.000,31.387,1.082,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
21,0.000,0.000,25.894,1.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
21,0.000,0.000,25.893,1.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
21,0.001,0.000,25.892,1.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
21,0.000,0.000,25.889,1.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
21,0.000,0.000,25.889,1.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
19,0.000,0.000,25.775,1.357,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.000,0.000,16.147,16.147,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:239(load_page)
