ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,57.388,57.388,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.0,0.0,25.146,25.146,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:159(__analyse_html)
1,0.001,0.001,25.139,25.139,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:329(select_form)
1,0.0,0.0,21.1,21.1,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:263(load_page)
1,0.0,0.0,7.857,7.857,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:186(__start_constraint_extraction)
1,0.0,0.0,7.121,7.121,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:214(get_constraint_candidates_for_value_sequence)
1,0.0,0.0,6.219,6.219,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:246(get_constraint_candidates)
1,0.0,0.0,3.276,3.276,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:344(__exit)
1,0.0,0.0,1.147,1.147,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:46(__init__)
1,0.0,0.0,0.732,0.732,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:181(set_valid_value_sequence)
1,0.0,0.0,0.732,0.732,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:264(__set_magic_value_sequence_for_input)
1,0.0,0.0,0.732,0.732,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:38(generate_inputs)
1,0.0,0.0,0.732,0.732,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:55(__generate_valid_inputs)
1,0.0,0.0,0.587,0.587,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:211(stop_trace_recording)
2,0.0,0.0,0.202,0.101,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:340(write_to_web_element_by_reference_with_clear)
2,0.0,0.0,0.127,0.064,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:289(write_to_web_element)
2,0.0,0.0,0.071,0.035,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:292(__attempt_submit)
2,0.0,0.0,0.071,0.035,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:322(click_web_element_by_reference)
2,0.0,0.0,0.055,0.027,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:279(click_web_element)
2,0.0,0.0,0.054,0.027,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:272(clear_web_element)
4,0.0,0.0,0.037,0.009,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:296(get_web_element_by_reference)
6,0.0,0.0,0.033,0.005,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:187(set_trace_recording_flag)
1,0.0,0.0,0.02,0.02,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:182(free_service_resources)
1,0.0,0.0,0.009,0.009,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:194(start_trace_recording)
1,0.0,0.0,0.007,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:325(__init__)
5,0.0,0.0,0.004,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:174(write_to_file)
1,0.0,0.0,0.003,0.003,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:256(__build_specification)
2,0.0,0.0,0.003,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:415(write_specification_to_file)
1,0.0,0.0,0.002,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:429(add_constraints_to_current_specification)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:352(create_specification_for_html_input)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:690(__add_constraints_for_email)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:152(load_file_content)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:363(extract_static_constraints)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:59(instrument_files)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:424(__extract_static_constraints_from_inputs)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:330(update_value_map)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:482(get_chromedriver_for_platform)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:493(__get_element_reference)
3,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:249(get_as_dict)
6,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:21(__hash__)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:430(<lambda>)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:35(__init__)
12,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\util\helpers.py:31(save_stat)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:216(set_by_name)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\util\helpers.py:40(save_profiling)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:139(get_current_values_from_form)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:257(get_representation)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:232(__init__)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:197(fill_with_valid_values)
6,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:15(get_as_dict)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:135(clear_value_mapping)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:161(__init__)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:475(clamp_to_range)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:489(<lambda>)
6,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:220(get_attributes)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:33(__init__)
3,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:24(__eq__)
6,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:188(type)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:135(__init__)
3,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:224(get_as_dict)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:274(<lambda>)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:312(decode_bytes)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:11(__init__)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:18(__init__)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:414(<listcomp>)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:171(required)
4,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:122(minlength)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:100(maxlength)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:193(type)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:326(__init__)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:971(__add_to_formula)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:166(required)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:22(value)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:144(name)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:419(submit_element)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:199(v)
