ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
134,0.006,0.000,38.877,0.290,/usr/lib/python3.11/site-packages/urllib3/connectionpool.py:534(urlopen)
134,0.005,0.000,38.793,0.290,/usr/lib/python3.11/site-packages/urllib3/connectionpool.py:379(_make_request)
92,0.001,0.000,38.736,0.421,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:326(execute)
92,0.002,0.000,38.733,0.421,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/remote_connection.py:272(execute)
92,0.003,0.000,38.726,0.421,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/remote_connection.py:292(_request)
135,0.002,0.000,38.713,0.287,/usr/lib/python3.11/http/client.py:1342(getresponse)
92,0.001,0.000,38.710,0.421,/usr/lib/python3.11/site-packages/urllib3/request.py:61(request)
92,0.002,0.000,38.708,0.421,/usr/lib/python3.11/site-packages/urllib3/poolmanager.py:353(urlopen)
135,0.004,0.000,38.704,0.287,/usr/lib/python3.11/http/client.py:318(begin)
135,0.003,0.000,38.647,0.286,/usr/lib/python3.11/http/client.py:285(_read_status)
1002,0.002,0.000,38.644,0.039,{method 'readline' of '_io.BufferedReader' objects}
137,0.001,0.000,38.642,0.282,/usr/lib/python3.11/socket.py:692(readinto)
137,38.640,0.282,38.640,0.282,{method 'recv_into' of '_socket.socket' objects}
84,0.001,0.000,38.553,0.459,/usr/lib/python3.11/site-packages/urllib3/request.py:101(request_encode_body)
1,0.000,0.000,35.259,35.259,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:110(run_analysis)
1,0.000,0.000,25.605,25.605,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:168(__start_constraint_extraction)
3,0.000,0.000,23.437,7.812,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:217(find_js_constraint_candidates)
3,0.001,0.000,22.423,7.474,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:229(__get_constraint_candidates_for_value_sequence)
49,0.000,0.000,21.764,0.444,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webelement.py:382(_execute)
19,0.000,0.000,18.719,0.985,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:223(click_web_element)
19,0.000,0.000,18.719,0.985,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webelement.py:92(click)
15,0.001,0.000,17.025,1.135,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:299(__attempt_submit)
15,0.000,0.000,16.899,1.127,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:263(click_web_element_by_reference)
1,0.000,0.000,9.559,9.559,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:207(load_page)
1,0.000,0.000,9.559,9.559,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:353(get)
1,0.000,0.000,7.256,7.256,/home/bjoernkarthein/.local/lib/python3.11/site-packages/seleniumwire/webdriver.py:185(__init__)
1,0.000,0.000,7.248,7.248,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/chrome/webdriver.py:29(__init__)
1,0.000,0.000,7.248,7.248,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/chromium/webdriver.py:28(__init__)
1,0.000,0.000,6.742,6.742,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:162(__init__)
1,0.000,0.000,6.741,6.741,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:282(start_session)
18,0.001,0.000,5.595,0.311,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:279(write_to_web_element_by_reference_with_clear)
6,0.000,0.000,2.813,0.469,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:37(generate_inputs)
6,0.000,0.000,2.812,0.469,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:54(__generate_valid_inputs)
12,0.000,0.000,2.468,0.206,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:230(write_to_web_element)
12,0.000,0.000,2.468,0.206,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webelement.py:194(send_keys)
18,0.000,0.000,2.159,0.120,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:615(solve)
6,0.000,0.000,2.130,0.355,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:327(write_to_checkbox_with_clear)
831/358,0.008,0.000,1.921,0.005,{built-in method _functools.reduce}
294/132,0.001,0.000,1.918,0.015,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:844(chain_functions)
7062/1068,0.008,0.000,1.915,0.002,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:848(<lambda>)
7074/1080,0.013,0.000,1.912,0.002,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:757(__add__)
7062/1068,0.004,0.000,1.908,0.002,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:732(lazy_mplus)
6,0.000,0.000,1.826,0.304,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:1642(eliminate_all_semantic_formulas)
4,0.001,0.000,1.822,0.456,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2225(eliminate_semantic_formula)
3,0.000,0.000,1.800,0.600,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:178(set_valid_value_sequence)
3,0.000,0.000,1.800,0.600,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:271(__set_magic_value_sequence_for_input)
4,0.000,0.000,1.397,0.349,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2314(<listcomp>)
4,0.001,0.000,1.395,0.349,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2351(solve_quantifier_free_formula)
40,0.004,0.000,1.373,0.034,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2445(solve_smt_formulas_with_language_constraints)
40,0.001,0.000,0.745,0.019,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/z3_helpers.py:574(z3_solve)
6,0.001,0.000,0.652,0.109,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:322(__init__)
