ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,33.754,33.754,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:110(run_analysis)
1,0.0,0.0,19.307,19.307,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:168(__start_constraint_extraction)
7,0.0,0.0,16.254,2.322,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:217(find_js_constraint_candidates)
7,0.001,0.0,14.29,2.041,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:229(__get_constraint_candidates_for_value_sequence)
35,0.001,0.0,11.972,0.342,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:299(__attempt_submit)
35,0.0,0.0,11.762,0.336,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:263(click_web_element_by_reference)
43,0.0,0.0,11.756,0.273,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:223(click_web_element)
1,0.0,0.0,6.757,6.757,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(load_page)
1,0.0,0.0,5.166,5.166,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:145(__analyse_html)
1,0.003,0.003,5.162,5.162,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:327(select_form)
14,0.0,0.0,4.607,0.329,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:37(generate_inputs)
14,0.001,0.0,4.607,0.329,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:54(__generate_valid_inputs)
7,0.0,0.0,2.644,0.378,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:178(set_valid_value_sequence)
7,0.0,0.0,2.644,0.378,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:271(__set_magic_value_sequence_for_input)
1,0.0,0.0,2.514,2.514,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:290(__exit)
42,0.001,0.0,2.474,0.059,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:279(write_to_web_element_by_reference_with_clear)
30,0.0,0.0,0.938,0.031,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:230(write_to_web_element)
