ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,570.803,570.803,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:99(run_analysis)
593,0.015,0.000,544.030,0.917,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
593,0.012,0.000,543.830,0.917,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
594,0.003,0.000,543.664,0.915,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
594,0.009,0.000,543.646,0.915,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
2267,0.005,0.000,543.539,0.240,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
2267,543.531,0.240,543.531,0.240,{method 'recv_into' of '_socket.socket' objects}
594,0.010,0.000,543.502,0.915,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
4290,0.008,0.000,543.492,0.127,{method 'readline' of '_io.BufferedReader' objects}
425,0.005,0.000,482.009,1.134,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
425,0.005,0.000,481.997,1.134,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
425,0.009,0.000,481.979,1.134,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
425,0.002,0.000,481.933,1.134,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
425,0.005,0.000,481.929,1.134,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
375,0.002,0.000,481.463,1.284,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.000,0.000,393.214,393.214,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:212(load_page)
1,0.000,0.000,393.214,393.214,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
1,0.001,0.001,152.577,152.577,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:173(__start_constraint_extraction)
8,0.002,0.000,150.467,18.808,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
228,0.001,0.000,85.676,0.376,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:382(_execute)
20,0.000,0.000,69.839,3.492,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:228(click_web_element)
20,0.000,0.000,69.838,3.492,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:92(click)
168,0.002,0.000,62.692,0.373,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\requests\api.py:103(post)
168,0.002,0.000,62.690,0.373,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\requests\api.py:14(request)
168,0.002,0.000,62.637,0.373,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\requests\sessions.py:502(request)
16,0.001,0.000,62.425,3.902,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:320(__attempt_submit)
168,0.004,0.000,62.370,0.371,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\requests\sessions.py:673(send)
16,0.000,0.000,62.312,3.894,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:268(click_web_element_by_reference)
