ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,30.540,30.540,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:110(run_analysis)
192,0.005,0.000,26.566,0.138,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
192,0.004,0.000,26.498,0.138,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
193,0.001,0.000,26.428,0.137,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
193,0.003,0.000,26.421,0.137,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
144,0.002,0.000,26.396,0.183,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
144,0.002,0.000,26.392,0.183,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
144,0.003,0.000,26.386,0.183,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
193,0.003,0.000,26.375,0.137,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
1343,0.002,0.000,26.372,0.020,{method 'readline' of '_io.BufferedReader' objects}
195,0.001,0.000,26.370,0.135,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
144,0.001,0.000,26.370,0.183,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
195,26.369,0.135,26.369,0.135,{method 'recv_into' of '_socket.socket' objects}
144,0.002,0.000,26.368,0.183,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
142,0.001,0.000,26.220,0.185,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.000,0.000,20.503,20.503,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(load_page)
1,0.000,0.000,20.503,20.503,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
1,0.000,0.000,7.722,7.722,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:168(__start_constraint_extraction)
2,0.000,0.000,6.308,3.154,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:217(find_js_constraint_candidates)
2,0.000,0.000,5.349,2.675,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:229(__get_constraint_candidates_for_value_sequence)
74,0.000,0.000,4.618,0.062,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:382(_execute)
10,0.000,0.000,2.833,0.283,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:303(__attempt_submit)
10,0.000,0.000,2.726,0.273,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:263(click_web_element_by_reference)
10,0.000,0.000,2.594,0.259,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:223(click_web_element)
