ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,30.728,30.728,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:97(run_analysis)
1,0.0,0.0,22.407,22.407,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:192(load_page)
1,0.0,0.0,5.938,5.938,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:161(__start_constraint_extraction)
2,0.0,0.0,4.368,2.184,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:211(find_js_constraint_candidates)
2,0.0,0.0,3.166,1.583,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:223(__get_constraint_candidates_for_value_sequence)
4,0.0,0.0,2.506,0.627,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:36(generate_inputs)
4,0.0,0.0,2.499,0.625,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:52(__generate_valid_inputs)
1,0.0,0.0,2.367,2.367,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:288(__exit)
10,0.0,0.0,2.178,0.218,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:286(__attempt_submit)
10,0.0,0.0,2.099,0.21,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:248(click_web_element_by_reference)
10,0.0,0.0,2.024,0.202,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:208(click_web_element)
2,0.0,0.0,1.308,0.654,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:176(set_valid_value_sequence)
2,0.0,0.0,1.304,0.652,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:258(__set_magic_value_sequence_for_input)
12,0.0,0.0,1.183,0.099,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:262(write_to_web_element_by_reference_with_clear)
12,0.0,0.0,0.485,0.04,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:215(write_to_web_element)
22,0.0,0.0,0.4,0.018,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:222(get_web_element_by_reference)
12,0.0,0.0,0.279,0.023,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:201(clear_web_element)
1,0.0,0.0,0.249,0.249,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:193(fill_with_valid_values)
22,0.0,0.0,0.172,0.008,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:164(record_trace)
2,0.0,0.0,0.02,0.01,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:177(get_constraint_candidates)
2,0.0,0.0,0.019,0.009,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:151(stop_trace_recording)
2,0.0,0.0,0.015,0.008,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:138(start_trace_recording)
1,0.0,0.0,0.008,0.008,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:231(__build_html_specification)
5,0.0,0.0,0.006,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:125(write_to_file)
2,0.0,0.0,0.005,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:404(write_specification_to_file)
1,0.0,0.0,0.002,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:138(__analyse_html)
1,0.0,0.0,0.002,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:275(__init__)
2,0.0,0.0,0.001,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:343(create_specification_for_html_input)
2,0.0,0.0,0.001,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:114(load_file_content)
