ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,3.370,3.370,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:98(run_analysis)
3,0.000,0.000,2.538,0.846,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:808(create_connection)
2,0.000,0.000,2.538,1.269,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:112(is_connectable)
2,0.000,0.000,2.538,1.269,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\utils.py:94(is_connectable)
6,2.536,0.423,2.536,0.423,{method 'connect' of '_socket.socket' objects}
1,0.000,0.000,2.318,2.318,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:140(__analyse_html)
1,0.000,0.000,2.308,2.308,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:290(__exit)
1,0.000,0.000,2.308,2.308,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:65(quit)
1,0.000,0.000,2.253,2.253,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:185(quit)
19,0.000,0.000,2.180,0.115,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
19,0.000,0.000,2.180,0.115,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
19,0.000,0.000,2.176,0.115,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
21,0.000,0.000,2.175,0.104,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
95,0.000,0.000,2.175,0.023,{method 'readline' of '_io.BufferedReader' objects}
21,2.175,0.104,2.175,0.104,{method 'recv_into' of '_socket.socket' objects}
18,0.000,0.000,2.163,0.120,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
18,0.000,0.000,2.162,0.120,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
18,0.001,0.000,2.161,0.120,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
18,0.000,0.000,2.157,0.120,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
18,0.000,0.000,2.157,0.120,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
18,0.000,0.000,2.152,0.120,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
18,0.000,0.000,2.144,0.119,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
1,0.000,0.000,2.075,2.075,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:130(stop)
1,0.000,0.000,2.075,2.075,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:117(send_remote_shutdown_command)
16,0.000,0.000,1.957,0.122,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.000,0.000,1.157,1.157,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:185(__init__)
1,0.000,0.000,1.136,1.136,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chrome\webdriver.py:29(__init__)
1,0.000,0.000,1.136,1.136,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:28(__init__)
1,0.000,0.000,0.838,0.838,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\matomo.py:17(login)
2,0.000,0.000,0.704,0.352,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
1,0.000,0.000,0.692,0.692,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\matomo.py:27(create_page)
