ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,230.459,230.459,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:97(run_analysis)
1,0.000,0.000,217.312,217.312,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:160(__start_constraint_extraction)
10,0.000,0.000,212.519,21.252,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:36(generate_inputs)
10,0.001,0.000,212.501,21.250,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:52(__generate_valid_inputs)
30,0.001,0.000,211.630,7.054,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:615(solve)
1890/547,0.011,0.000,208.334,0.381,{built-in method _functools.reduce}
670/234,0.001,0.000,208.331,0.890,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:844(chain_functions)
17314/1902,0.009,0.000,208.328,0.110,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:848(<lambda>)
17334/1922,0.017,0.000,208.327,0.108,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:757(__add__)
17314/1902,0.005,0.000,208.323,0.110,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:732(lazy_mplus)
10,0.000,0.000,208.210,20.821,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:1642(eliminate_all_semantic_formulas)
10,0.001,0.000,208.209,20.821,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2225(eliminate_semantic_formula)
10,0.000,0.000,207.368,20.737,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2314(<listcomp>)
10,0.003,0.000,207.367,20.737,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2351(solve_quantifier_free_formula)
100,0.006,0.000,207.228,2.072,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2445(solve_smt_formulas_with_language_constraints)
100,0.001,0.000,205.138,2.051,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2568(<dictcomp>)
100,0.001,0.000,205.137,2.051,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2701(extract_model_value)
100,0.000,0.000,205.136,2.051,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2869(extract_model_value_numeric_var)
100,0.000,0.000,205.136,2.051,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2921(extract_model_value_length_var)
100,0.521,0.005,205.135,2.051,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2640(safe_create_fixed_length_tree)
100,5.916,0.059,204.570,2.046,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:4236(create_fixed_length_tree)
441107,74.626,0.000,187.211,0.000,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\derivation_tree.py:447(replace_path)
5,0.000,0.000,124.068,24.814,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:211(find_js_constraint_candidates)
5,0.000,0.000,92.682,18.536,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:176(set_valid_value_sequence)
5,0.000,0.000,92.680,18.536,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:260(__set_magic_value_sequence_for_input)
29788197,60.706,0.000,84.807,0.000,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\derivation_tree.py:58(__init__)
29352381/29352379,11.506,0.000,23.348,0.000,{built-in method builtins.any}
86668162,12.686,0.000,12.686,0.000,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\derivation_tree.py:88(<genexpr>)
74932301,9.308,0.000,9.308,0.000,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\derivation_tree.py:143(children)
224,0.006,0.000,8.546,0.038,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
224,0.005,0.000,8.464,0.038,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
225,0.002,0.000,8.346,0.037,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
