ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,433.877,433.877,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.002,0.002,386.797,386.797,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:175(__start_constraint_extraction)
281,0.007,0.000,379.412,1.350,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
281,0.005,0.000,379.310,1.350,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
7243,0.009,0.000,379.297,0.052,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
7243,379.282,0.052,379.282,0.052,{method 'recv_into' of '_socket.socket' objects}
282,0.002,0.000,379.202,1.345,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
282,0.004,0.000,379.193,1.345,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
282,0.005,0.000,379.126,1.344,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
2000,0.004,0.000,379.122,0.190,{method 'readline' of '_io.BufferedReader' objects}
5,0.003,0.001,372.275,74.455,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
205,0.002,0.000,369.055,1.800,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
205,0.003,0.000,369.050,1.800,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
205,0.004,0.000,369.041,1.800,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
205,0.001,0.000,369.018,1.800,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
205,0.002,0.000,369.015,1.800,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
