ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,139.709,139.709,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:98(run_analysis)
1,0.000,0.000,61.270,61.270,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:163(__start_constraint_extraction)
10,0.000,0.000,56.888,5.689,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:36(generate_inputs)
10,0.001,0.000,56.880,5.688,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:52(__generate_valid_inputs)
30,0.000,0.000,56.234,1.874,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:615(solve)
1848/520,0.011,0.000,49.831,0.096,{built-in method _functools.reduce}
617/220,0.001,0.000,49.829,0.226,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:844(chain_functions)
16109/1780,0.009,0.000,49.825,0.028,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:848(<lambda>)
16129/1800,0.017,0.000,49.824,0.028,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:757(__add__)
16109/1780,0.005,0.000,49.820,0.028,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:732(lazy_mplus)
10,0.000,0.000,49.761,4.976,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:1642(eliminate_all_semantic_formulas)
8,0.001,0.000,49.760,6.220,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2225(eliminate_semantic_formula)
8,0.000,0.000,49.057,6.132,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2314(<listcomp>)
8,0.003,0.000,49.056,6.132,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2351(solve_quantifier_free_formula)
80,0.004,0.000,48.823,0.610,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2445(solve_smt_formulas_with_language_constraints)
80,0.001,0.000,47.280,0.591,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2568(<dictcomp>)
