ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,139.709,139.709,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:98(run_analysis)
1,0.0,0.0,61.27,61.27,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:163(__start_constraint_extraction)
10,0.0,0.0,56.888,5.689,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:36(generate_inputs)
10,0.001,0.0,56.88,5.688,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:52(__generate_valid_inputs)
1,0.0,0.0,40.891,40.891,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:140(__analyse_html)
1,0.001,0.001,39.601,39.601,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:278(select_form)
1,0.0,0.0,34.566,34.566,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:192(load_page)
5,0.0,0.0,34.052,6.81,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:211(find_js_constraint_candidates)
5,0.0,0.0,26.332,5.266,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:176(set_valid_value_sequence)
5,0.0,0.0,26.331,5.266,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:258(__set_magic_value_sequence_for_input)
5,0.001,0.0,3.494,0.699,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:223(__get_constraint_candidates_for_value_sequence)
30,0.0,0.0,3.422,0.114,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:262(write_to_web_element_by_reference_with_clear)
1,0.0,0.0,2.956,2.956,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:290(__exit)
55,0.001,0.0,2.423,0.044,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:222(get_web_element_by_reference)
