ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,80.19,80.19,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.0,0.0,32.315,32.315,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:175(__start_constraint_extraction)
7,0.0,0.0,27.588,3.941,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:181(set_valid_value_sequence)
7,0.0,0.0,27.588,3.941,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:292(__set_magic_value_sequence_for_input)
7,0.0,0.0,27.588,3.941,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:38(generate_inputs)
7,0.0,0.0,27.588,3.941,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:55(__generate_valid_inputs)
1,0.0,0.0,24.2,24.2,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:239(load_page)
1,0.0,0.0,21.323,21.323,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:152(__analyse_html)
1,0.003,0.003,16.253,16.253,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:329(select_form)
1,0.002,0.002,5.059,5.059,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:363(extract_static_constraints)
7,0.001,0.0,4.696,0.671,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
14,0.0,0.0,2.807,0.201,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:320(__attempt_submit)
14,0.0,0.0,2.707,0.193,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:295(click_web_element_by_reference)
2,0.0,0.0,2.662,1.331,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:255(click_web_element)
1,0.0,0.0,2.354,2.354,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\moodle.py:15(setup)
1,0.0,0.0,2.321,2.321,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:331(__exit)
1,0.0,0.0,2.016,2.016,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:57(__init__)
98,0.001,0.0,1.591,0.016,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:311(write_to_web_element_by_reference_with_clear)
14,0.0,0.0,1.173,0.084,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:197(fill_with_valid_values)
112,0.001,0.0,0.826,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:269(get_web_element_by_reference)
6,0.0,0.0,0.56,0.093,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:262(write_to_web_element)
42,0.0,0.0,0.162,0.004,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:174(set_trace_recording_flag)
21,0.0,0.0,0.15,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(record_trace)
6,0.0,0.0,0.129,0.021,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:248(clear_web_element)
1,0.0,0.0,0.06,0.06,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:360(write_to_checkbox_with_clear)
7,0.0,0.0,0.046,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:181(start_trace_recording)
7,0.0,0.0,0.044,0.006,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:220(get_constraint_candidates)
7,0.0,0.0,0.044,0.006,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:194(stop_trace_recording)
14,0.0,0.0,0.021,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:443(write_specification_to_file)
1,0.0,0.0,0.021,0.021,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:169(free_service_resources)
29,0.0,0.0,0.02,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:161(write_to_file)
1,0.0,0.0,0.019,0.019,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:253(__build_html_specification)
1,0.0,0.0,0.012,0.012,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:325(__init__)
7,0.0,0.0,0.01,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:457(add_constraints_to_current_specification)
14,0.0,0.0,0.004,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:380(create_specification_for_html_input)
14,0.0,0.0,0.004,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:150(load_file_content)
10,0.0,0.0,0.003,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:815(__add_constraints_for_one_line_text)
1,0.002,0.002,0.003,0.003,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:424(__extract_static_constraints_from_inputs)
98,0.001,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:301(update_value_map)
2,0.001,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:501(__get_datalist_options_by_id)
2,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:749(__add_constraints_for_multi_line_text)
7,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:226(split_on_newline)
2,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:581(__add_constraints_for_binary)
113,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:21(__hash__)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:59(instrument_files)
14,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:137(get_current_values_from_form)
21,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:249(get_as_dict)
