ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
3,0.000,0.000,2.527,0.842,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:808(create_connection)
2,0.000,0.000,2.526,1.263,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:112(is_connectable)
2,0.000,0.000,2.526,1.263,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\utils.py:94(is_connectable)
6,2.523,0.420,2.523,0.420,{method 'connect' of '_socket.socket' objects}
1,0.000,0.000,2.424,2.424,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:111(run_analysis)
1,0.000,0.000,2.229,2.229,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:169(__start_constraint_extraction)
1,0.000,0.000,2.213,2.213,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:309(__exit)
1,0.000,0.000,2.213,2.213,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:65(quit)
1,0.000,0.000,2.198,2.198,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:185(quit)
1,0.000,0.000,2.092,2.092,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:130(stop)
1,0.000,0.000,2.092,2.092,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:117(send_remote_shutdown_command)
1,0.000,0.000,1.353,1.353,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:185(__init__)
1,0.000,0.000,1.330,1.330,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chrome\webdriver.py:29(__init__)
1,0.000,0.000,1.329,1.329,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:28(__init__)
5,0.000,0.000,1.167,0.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
5,0.000,0.000,1.167,0.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
5,0.000,0.000,1.165,0.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
25,0.000,0.000,1.165,0.047,{method 'readline' of '_io.BufferedReader' objects}
5,0.000,0.000,1.165,0.233,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
5,1.165,0.233,1.165,0.233,{method 'recv_into' of '_socket.socket' objects}
4,0.000,0.000,1.098,0.274,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
4,0.000,0.000,1.098,0.274,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
4,0.000,0.000,1.098,0.274,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
4,0.000,0.000,1.097,0.274,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
4,0.000,0.000,1.097,0.274,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
4,0.000,0.000,1.096,0.274,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
4,0.000,0.000,1.094,0.274,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
2,0.000,0.000,0.987,0.494,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.000,0.000,0.805,0.805,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:162(__init__)
1,0.000,0.000,0.805,0.805,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:282(start_session)
1,0.000,0.000,0.524,0.524,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:86(start)
1,0.000,0.000,0.184,0.184,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(load_page)
1,0.000,0.000,0.184,0.184,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
2,0.000,0.000,0.109,0.055,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:82(request_encode_url)
1,0.000,0.000,0.106,0.106,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:459(quit)
1,0.000,0.000,0.078,0.078,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:139(urlopen)
1,0.000,0.000,0.077,0.077,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:500(open)
1,0.000,0.000,0.077,0.077,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:529(_open)
2,0.000,0.000,0.077,0.038,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:489(_call_chain)
1,0.000,0.000,0.077,0.077,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:1376(http_open)
1,0.000,0.000,0.077,0.077,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:1307(do_open)
1,0.000,0.000,0.023,0.023,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:37(_setup_backend)
1,0.000,0.000,0.023,0.023,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\backend.py:9(create)
1,0.000,0.000,0.022,0.022,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\server.py:23(__init__)
1,0.000,0.000,0.016,0.016,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\server.py:77(shutdown)
1,0.000,0.000,0.016,0.016,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:233(__build_html_specification)
1,0.000,0.000,0.015,0.015,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\storage.py:316(cleanup)
10,0.000,0.000,0.015,0.002,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\shutil.py:687(rmtree)
1,0.000,0.000,0.014,0.014,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\storage.py:279(clear_requests)
10,0.001,0.000,0.012,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\shutil.py:595(_rmtree_unsafe)
1,0.000,0.000,0.011,0.011,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:185(_start_process)
1,0.000,0.000,0.011,0.011,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\subprocess.py:758(__init__)
1,0.000,0.000,0.011,0.011,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\subprocess.py:1354(_execute_child)
1,0.011,0.011,0.011,0.011,{built-in method _winapi.CreateProcess}
1,0.000,0.000,0.010,0.010,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\thirdparty\mitmproxy\server\config.py:33(__init__)
1,0.000,0.000,0.010,0.010,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\thirdparty\mitmproxy\server\config.py:43(configure)
1,0.000,0.000,0.009,0.009,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\thirdparty\mitmproxy\certs.py:198(from_store)
2,0.000,0.000,0.009,0.004,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:421(write_specification_to_file)
5,0.000,0.000,0.009,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:133(write_to_file)
1,0.000,0.000,0.007,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:146(__analyse_html)
1,0.000,0.000,0.007,0.007,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\OpenSSL\crypto.py:2010(load_certificate)
1,0.006,0.006,0.006,0.006,{built-in method _openssl.PEM_read_bio_X509}
12,0.006,0.001,0.006,0.001,{built-in method nt.unlink}
11,0.006,0.001,0.006,0.001,{built-in method io.open}
1,0.000,0.000,0.005,0.005,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:323(__init__)
1,0.000,0.000,0.005,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\lxml\html\__init__.py:858(fromstring)
1,0.005,0.005,0.005,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\lxml\html\__init__.py:756(document_fromstring)
