ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,13.116,13.116,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:111(run_analysis)
1,0.000,0.000,10.522,10.522,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:146(__analyse_html)
1,0.002,0.002,10.517,10.517,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:326(select_form)
1,10.498,10.498,10.498,10.498,{built-in method builtins.input}
1,0.000,0.000,2.946,2.946,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\opencart.py:16(fill_cart)
3,0.000,0.000,2.522,0.841,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:808(create_connection)
2,0.000,0.000,2.521,1.261,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:112(is_connectable)
2,0.000,0.000,2.521,1.261,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\utils.py:94(is_connectable)
6,2.520,0.420,2.520,0.420,{method 'connect' of '_socket.socket' objects}
1,0.000,0.000,2.344,2.344,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:169(__start_constraint_extraction)
1,0.000,0.000,2.309,2.309,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:309(__exit)
1,0.000,0.000,2.309,2.309,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:65(quit)
1,0.000,0.000,2.258,2.258,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:185(quit)
1,0.000,0.000,2.109,2.109,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:130(stop)
1,0.000,0.000,2.109,2.109,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:117(send_remote_shutdown_command)
1,2.010,2.010,2.010,2.010,{built-in method time.sleep}
12,0.000,0.000,1.997,0.166,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
12,0.000,0.000,1.997,0.166,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
12,0.000,0.000,1.994,0.166,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
60,0.000,0.000,1.994,0.033,{method 'readline' of '_io.BufferedReader' objects}
14,0.000,0.000,1.993,0.142,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
14,1.993,0.142,1.993,0.142,{method 'recv_into' of '_socket.socket' objects}
11,0.000,0.000,1.927,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
11,0.000,0.000,1.926,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
11,0.000,0.000,1.925,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
11,0.000,0.000,1.923,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
11,0.000,0.000,1.923,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
11,0.000,0.000,1.921,0.175,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
11,0.000,0.000,1.916,0.174,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
8,0.000,0.000,1.753,0.219,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.000,0.000,1.124,1.124,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:185(__init__)
1,0.000,0.000,1.108,1.108,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chrome\webdriver.py:29(__init__)
