ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,127.354,127.354,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.000,0.000,95.108,95.108,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:186(__start_constraint_extraction)
1033,0.009,0.000,93.888,0.091,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
1033,0.012,0.000,93.860,0.091,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
1033,0.021,0.000,93.814,0.091,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
1033,0.004,0.000,93.706,0.091,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
1033,0.012,0.000,93.696,0.091,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
1069,0.025,0.000,93.666,0.088,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
1069,0.020,0.000,93.262,0.087,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
982,0.004,0.000,93.191,0.095,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1070,0.006,0.000,93.060,0.087,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
1070,0.016,0.000,93.030,0.087,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
1070,0.016,0.000,92.798,0.087,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
5602,0.014,0.000,92.782,0.017,{method 'readline' of '_io.BufferedReader' objects}
1072,0.006,0.000,92.768,0.087,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
1072,92.761,0.087,92.761,0.087,{method 'recv_into' of '_socket.socket' objects}
12,0.002,0.000,92.159,7.680,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:214(get_constraint_candidates_for_value_sequence)
556,0.002,0.000,88.024,0.158,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:382(_execute)
75,0.000,0.000,72.257,0.963,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:92(click)
73,0.000,0.000,71.657,0.982,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:279(click_web_element)
288,0.005,0.000,66.181,0.230,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:340(write_to_web_element_by_reference_with_clear)
24,0.002,0.000,62.466,2.603,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:197(fill_with_valid_values)
1,0.000,0.000,29.737,29.737,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:159(__analyse_html)
1,0.000,0.000,29.732,29.732,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:329(select_form)
1,29.716,29.716,29.716,29.716,{built-in method builtins.input}
48,0.000,0.000,25.102,0.523,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:391(write_to_checkbox_with_clear)
24,0.000,0.000,24.555,1.023,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:292(__attempt_submit)
24,0.000,0.000,24.554,1.023,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:322(click_web_element_by_reference)
24,0.000,0.000,23.314,0.971,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:444(write_to_radio_group)
216,0.001,0.000,9.322,0.043,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:289(write_to_web_element)
216,0.002,0.000,9.321,0.043,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:194(send_keys)
216,0.001,0.000,6.087,0.028,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:272(clear_web_element)
216,0.001,0.000,6.086,0.028,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:115(clear)
1,0.000,0.000,3.151,3.151,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\opencart.py:17(fill_cart)
12,0.000,0.000,2.888,0.241,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:181(set_valid_value_sequence)
12,0.000,0.000,2.888,0.241,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:38(generate_inputs)
12,0.000,0.000,2.888,0.241,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:55(__generate_valid_inputs)
11,0.000,0.000,2.872,0.261,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:264(__set_magic_value_sequence_for_input)
314,0.002,0.000,2.564,0.008,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:714(find_element)
42,2.546,0.061,2.546,0.061,{method 'connect' of '_socket.socket' objects}
312,0.001,0.000,2.541,0.008,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:296(get_web_element_by_reference)
3,0.000,0.000,2.538,0.846,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:808(create_connection)
2,0.000,0.000,2.537,1.269,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:112(is_connectable)
2,0.000,0.000,2.537,1.269,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\utils.py:94(is_connectable)
24,0.000,0.000,2.358,0.098,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:615(solve)
1,0.000,0.000,2.291,2.291,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:344(__exit)
1,0.000,0.000,2.291,2.291,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:65(quit)
1,0.000,0.000,2.289,2.289,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:185(quit)
1,0.000,0.000,2.144,2.144,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:130(stop)
1,0.000,0.000,2.144,2.144,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:117(send_remote_shutdown_command)
1546/492,0.009,0.000,2.057,0.004,{built-in method _functools.reduce}
622/264,0.001,0.000,2.055,0.008,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:844(chain_functions)
15382/2136,0.007,0.000,2.053,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:848(<lambda>)
15406/2160,0.014,0.000,2.052,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:757(__add__)
15382/2136,0.005,0.000,2.047,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:732(lazy_mplus)
1,2.015,2.015,2.015,2.015,{built-in method time.sleep}
12,0.000,0.000,2.000,0.167,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:1642(eliminate_all_semantic_formulas)
9,0.001,0.000,1.999,0.222,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2225(eliminate_semantic_formula)
9,0.000,0.000,1.664,0.185,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2314(<listcomp>)
9,0.001,0.000,1.664,0.185,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2351(solve_quantifier_free_formula)
90,0.004,0.000,1.640,0.018,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2445(solve_smt_formulas_with_language_constraints)
133,0.001,0.000,1.609,0.012,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:385(execute_script)
1,0.000,0.000,1.202,1.202,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:46(__init__)
1,0.000,0.000,1.200,1.200,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:185(__init__)
1,0.000,0.000,1.188,1.188,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chrome\webdriver.py:29(__init__)
1,0.000,0.000,1.187,1.187,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:28(__init__)
90,0.001,0.000,0.939,0.010,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\z3_helpers.py:574(z3_solve)
12,0.000,0.000,0.801,0.067,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:211(stop_trace_recording)
1,0.000,0.000,0.671,0.671,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:162(__init__)
1,0.000,0.000,0.671,0.671,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:282(start_session)
2,0.000,0.000,0.660,0.330,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
48,0.001,0.000,0.555,0.012,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:151(get_attribute)
12,0.001,0.000,0.529,0.044,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:322(__init__)
1,0.000,0.000,0.516,0.516,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:86(start)
51,0.000,0.000,0.510,0.010,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:82(request_encode_url)
585,0.001,0.000,0.488,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\z3\z3.py:7019(add)
585,0.002,0.000,0.484,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\z3\z3.py:7000(assert_exprs)
585,0.456,0.001,0.457,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\z3\z3core.py:3949(Z3_solver_assert)
90,0.002,0.000,0.438,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\z3\z3.py:7086(check)
90,0.435,0.005,0.435,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\z3\z3core.py:4043(Z3_solver_check_assumptions)
90,0.000,0.000,0.429,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2568(<dictcomp>)
90,0.000,0.000,0.428,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2701(extract_model_value)
90,0.000,0.000,0.428,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2869(extract_model_value_numeric_var)
90,0.000,0.000,0.428,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2921(extract_model_value_length_var)
90,0.002,0.000,0.427,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2640(safe_create_fixed_length_tree)
12,0.000,0.000,0.419,0.035,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\language.py:3979(parse_bnf)
90,0.028,0.000,0.408,0.005,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:4236(create_fixed_length_tree)
48,0.000,0.000,0.353,0.007,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:183(is_selected)
12,0.000,0.000,0.350,0.029,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:735(if_present)
12,0.000,0.000,0.350,0.029,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:698(process_and_extend_solutions)
12,0.000,0.000,0.350,0.029,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:3245(process_new_states)
12,0.000,0.000,0.350,0.029,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:3248(<listcomp>)
120,0.001,0.000,0.349,0.003,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:3254(process_new_state)
72,0.000,0.000,0.326,0.005,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:187(set_trace_recording_flag)
99,0.002,0.000,0.325,0.003,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\language.py:1466(substitute_expressions)
90,0.001,0.000,0.288,0.003,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\z3_helpers.py:623(is_valid)
