ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,150.649,150.649,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.0,0.0,113.578,113.578,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:175(__start_constraint_extraction)
12,0.001,0.0,110.499,9.208,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
97,0.001,0.0,93.07,0.959,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:255(click_web_element)
288,0.01,0.0,85.034,0.295,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:311(write_to_web_element_by_reference_with_clear)
24,0.002,0.0,82.31,3.43,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:197(fill_with_valid_values)
48,0.0,0.0,46.228,0.963,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:359(write_to_checkbox_with_clear)
1,0.0,0.0,34.493,34.493,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:152(__analyse_html)
1,0.001,0.001,34.484,34.484,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:329(select_form)
24,0.001,0.0,24.888,1.037,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:320(__attempt_submit)
24,0.0,0.0,24.739,1.031,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:295(click_web_element_by_reference)
24,0.0,0.0,23.114,0.963,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:412(write_to_radio_group)
216,0.001,0.0,7.462,0.035,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:262(write_to_web_element)
216,0.001,0.0,4.545,0.021,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:248(clear_web_element)
12,0.0,0.0,3.03,0.252,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:181(set_valid_value_sequence)
12,0.0,0.0,3.029,0.252,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:38(generate_inputs)
12,0.0,0.0,3.029,0.252,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:55(__generate_valid_inputs)
11,0.0,0.0,3.013,0.274,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:292(__set_magic_value_sequence_for_input)
1,0.0,0.0,2.904,2.904,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\opencart.py:17(fill_cart)
1,0.0,0.0,2.375,2.375,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:331(__exit)
