ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,149.157,149.157,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:111(run_analysis)
1,0.000,0.000,91.770,91.770,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:169(__start_constraint_extraction)
12,0.000,0.000,64.327,5.361,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:37(generate_inputs)
12,0.001,0.000,64.327,5.361,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:54(__generate_valid_inputs)
36,0.001,0.000,62.757,1.743,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:615(solve)
1922/575,0.024,0.000,61.454,0.107,{built-in method _functools.reduce}
672/256,0.002,0.000,61.448,0.240,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:844(chain_functions)
17224/2072,0.015,0.000,61.442,0.030,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:848(<lambda>)
17248/2096,0.030,0.000,61.440,0.029,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:757(__add__)
17224/2072,0.008,0.000,61.432,0.030,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:732(lazy_mplus)
12,0.000,0.000,61.307,5.109,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:1642(eliminate_all_semantic_formulas)
10,0.002,0.000,61.305,6.130,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2225(eliminate_semantic_formula)
6,0.000,0.000,61.179,10.196,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:217(find_js_constraint_candidates)
10,0.000,0.000,60.567,6.057,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2314(<listcomp>)
10,0.004,0.000,60.566,6.057,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2351(solve_quantifier_free_formula)
98,0.009,0.000,60.445,0.617,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2445(solve_smt_formulas_with_language_constraints)
96,0.001,0.000,57.990,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2568(<dictcomp>)
96,0.001,0.000,57.988,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2701(extract_model_value)
96,0.002,0.000,57.988,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2869(extract_model_value_numeric_var)
96,0.001,0.000,57.985,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2921(extract_model_value_length_var)
96,0.104,0.001,57.984,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2640(safe_create_fixed_length_tree)
96,3.356,0.035,57.847,0.603,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:4236(create_fixed_length_tree)
187290,22.937,0.000,46.296,0.000,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/derivation_tree.py:447(replace_path)
1,0.000,0.000,45.779,45.779,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:146(__analyse_html)
2,45.755,22.877,45.755,22.877,{built-in method builtins.input}
988,0.040,0.000,42.002,0.043,/usr/lib/python3.11/site-packages/urllib3/connectionpool.py:534(urlopen)
730,0.008,0.000,41.560,0.057,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:326(execute)
730,0.013,0.000,41.516,0.057,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/remote_connection.py:272(execute)
730,0.023,0.000,41.469,0.057,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/remote_connection.py:292(_request)
988,0.033,0.000,41.408,0.042,/usr/lib/python3.11/site-packages/urllib3/connectionpool.py:379(_make_request)
730,0.005,0.000,41.363,0.057,/usr/lib/python3.11/site-packages/urllib3/request.py:61(request)
730,0.014,0.000,41.351,0.057,/usr/lib/python3.11/site-packages/urllib3/poolmanager.py:353(urlopen)
728,0.005,0.000,41.265,0.057,/usr/lib/python3.11/site-packages/urllib3/request.py:101(request_encode_body)
989,0.009,0.000,40.952,0.041,/usr/lib/python3.11/http/client.py:1342(getresponse)
989,0.024,0.000,40.905,0.041,/usr/lib/python3.11/http/client.py:318(begin)
989,0.021,0.000,40.525,0.041,/usr/lib/python3.11/http/client.py:285(_read_status)
6991,0.015,0.000,40.505,0.006,{method 'readline' of '_io.BufferedReader' objects}
991,0.007,0.000,40.490,0.041,/usr/lib/python3.11/socket.py:692(readinto)
991,40.480,0.041,40.480,0.041,{method 'recv_into' of '_socket.socket' objects}
1,0.001,0.001,31.989,31.989,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/html_analysis.py:326(select_form)
6,0.000,0.000,30.544,5.091,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:178(set_valid_value_sequence)
6,0.000,0.000,30.544,5.091,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:275(__set_magic_value_sequence_for_input)
6,0.001,0.000,27.394,4.566,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:229(__get_constraint_candidates_for_value_sequence)
210,0.012,0.000,24.574,0.117,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:279(write_to_web_element_by_reference_with_clear)
413,0.001,0.000,22.362,0.054,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webelement.py:382(_execute)
30,0.002,0.000,21.146,0.705,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:194(fill_with_valid_values)
5651799,11.221,0.000,17.695,0.000,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/derivation_tree.py:58(__init__)
1,0.005,0.005,13.781,13.781,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/html_analysis.py:354(extract_static_constraints)
175,0.001,0.000,12.649,0.072,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:230(write_to_web_element)
175,0.002,0.000,12.648,0.072,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webelement.py:194(send_keys)
1,0.000,0.000,9.214,9.214,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:207(load_page)
1,0.000,0.000,9.214,9.214,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:353(get)
1,0.000,0.000,7.224,7.224,/home/bjoernkarthein/.local/lib/python3.11/site-packages/seleniumwire/webdriver.py:185(__init__)
1,0.000,0.000,7.215,7.215,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/chrome/webdriver.py:29(__init__)
1,0.000,0.000,7.214,7.214,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/chromium/webdriver.py:28(__init__)
175,0.001,0.000,7.001,0.040,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:216(clear_web_element)
175,0.001,0.000,7.001,0.040,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webelement.py:115(clear)
1,0.000,0.000,6.709,6.709,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:162(__init__)
1,0.000,0.000,6.709,6.709,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:282(start_session)
5477146,3.322,0.000,6.174,0.000,{built-in method builtins.any}
146383,0.304,0.000,4.801,0.000,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:953(get_expansions)
15442226,3.193,0.000,3.193,0.000,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/derivation_tree.py:88(<genexpr>)
63,0.000,0.000,2.722,0.043,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webelement.py:92(click)
241,0.002,0.000,2.687,0.011,/home/bjoernkarthein/.local/lib/python3.11/site-packages/selenium/webdriver/remote/webdriver.py:714(find_element)
240,0.001,0.000,2.669,0.011,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:237(get_web_element_by_reference)
3,2.509,0.836,2.509,0.836,{built-in method time.sleep}
62,0.000,0.000,2.504,0.040,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:223(click_web_element)
146383,2.503,0.000,2.503,0.000,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:962(<listcomp>)
13715924,2.276,0.000,2.276,0.000,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/derivation_tree.py:143(children)
1,0.000,0.000,2.238,2.238,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/evaluation/phpbb.py:16(agree)
30,0.001,0.000,2.163,0.072,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:303(__attempt_submit)
258,0.003,0.000,1.997,0.008,/home/bjoernkarthein/.local/lib/python3.11/site-packages/requests/api.py:103(post)
146383,1.688,0.000,1.994,0.000,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:956(<listcomp>)
258,0.004,0.000,1.994,0.008,/home/bjoernkarthein/.local/lib/python3.11/site-packages/requests/api.py:14(request)
30,0.000,0.000,1.945,0.065,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:263(click_web_element_by_reference)
258,0.005,0.000,1.944,0.008,/home/bjoernkarthein/.local/lib/python3.11/site-packages/requests/sessions.py:502(request)
240,0.003,0.000,1.847,0.008,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:179(record_trace)
98,0.004,0.000,1.771,0.018,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/z3_helpers.py:574(z3_solve)
12,0.002,0.000,1.563,0.130,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:322(__init__)
