ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,149.157,149.157,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:111(run_analysis)
1,0.0,0.0,91.77,91.77,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:169(__start_constraint_extraction)
12,0.0,0.0,64.327,5.361,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:37(generate_inputs)
12,0.001,0.0,64.327,5.361,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/generation/input_generation.py:54(__generate_valid_inputs)
6,0.0,0.0,61.179,10.196,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:217(find_js_constraint_candidates)
1,0.0,0.0,45.779,45.779,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:146(__analyse_html)
1,0.001,0.001,31.989,31.989,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/html_analysis.py:326(select_form)
6,0.0,0.0,30.544,5.091,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:178(set_valid_value_sequence)
6,0.0,0.0,30.544,5.091,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:275(__set_magic_value_sequence_for_input)
6,0.001,0.0,27.394,4.566,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:229(__get_constraint_candidates_for_value_sequence)
210,0.012,0.0,24.574,0.117,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:279(write_to_web_element_by_reference_with_clear)
30,0.002,0.0,21.146,0.705,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:194(fill_with_valid_values)
1,0.005,0.005,13.781,13.781,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/html_analysis.py:354(extract_static_constraints)
175,0.001,0.0,12.649,0.072,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:230(write_to_web_element)
1,0.0,0.0,9.214,9.214,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:207(load_page)
175,0.001,0.0,7.001,0.04,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:216(clear_web_element)
240,0.001,0.0,2.669,0.011,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:237(get_web_element_by_reference)
62,0.0,0.0,2.504,0.04,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:223(click_web_element)
1,0.0,0.0,2.238,2.238,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/evaluation/phpbb.py:16(agree)
30,0.001,0.0,2.163,0.072,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/analysis/constraint_extraction.py:303(__attempt_submit)
30,0.0,0.0,1.945,0.065,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:263(click_web_element_by_reference)
240,0.003,0.0,1.847,0.008,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:179(record_trace)
35,0.0,0.0,0.884,0.025,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:321(select_button)
72,0.0,0.0,0.498,0.007,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:146(set_trace_recording_flag)
1,0.0,0.0,0.121,0.121,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/interaction/driver.py:307(__exit)
6,0.0,0.0,0.057,0.009,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:153(start_trace_recording)
6,0.0,0.0,0.051,0.008,/home/bjoernkarthein/Documents/git/invariant-based-web-form-testing/automation/src/utility/helpers.py:166(stop_trace_recording)
