ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
36,0.001,0.0,62.757,1.743,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:615(solve)
672/256,0.002,0.0,61.448,0.24,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:844(chain_functions)
17224/2072,0.015,0.0,61.442,0.03,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:848(<lambda>)
17248/2096,0.03,0.0,61.44,0.029,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:757(__add__)
17224/2072,0.008,0.0,61.432,0.03,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/helpers.py:732(lazy_mplus)
12,0.0,0.0,61.307,5.109,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:1642(eliminate_all_semantic_formulas)
10,0.002,0.0,61.305,6.13,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2225(eliminate_semantic_formula)
10,0.0,0.0,60.567,6.057,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2314(<listcomp>)
10,0.004,0.0,60.566,6.057,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2351(solve_quantifier_free_formula)
98,0.009,0.0,60.445,0.617,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2445(solve_smt_formulas_with_language_constraints)
96,0.001,0.0,57.99,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2568(<dictcomp>)
96,0.001,0.0,57.988,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2701(extract_model_value)
96,0.002,0.0,57.988,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2869(extract_model_value_numeric_var)
96,0.001,0.0,57.985,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2921(extract_model_value_length_var)
96,0.104,0.001,57.984,0.604,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:2640(safe_create_fixed_length_tree)
96,3.356,0.035,57.847,0.603,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/solver.py:4236(create_fixed_length_tree)
187290,22.937,0.0,46.296,0.0,/home/bjoernkarthein/.local/lib/python3.11/site-packages/isla/derivation_tree.py:447(replace_path)
