ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,75.755,75.755,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.000,0.000,54.394,54.394,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:175(__start_constraint_extraction)
363,0.009,0.000,44.259,0.122,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
363,0.007,0.000,44.132,0.122,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
364,0.002,0.000,44.049,0.121,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
364,0.006,0.000,44.039,0.121,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
364,0.006,0.000,43.950,0.121,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
1193,0.003,0.000,43.946,0.037,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
2623,0.005,0.000,43.944,0.017,{method 'readline' of '_io.BufferedReader' objects}
1193,43.941,0.037,43.941,0.037,{method 'recv_into' of '_socket.socket' objects}
260,0.002,0.000,43.732,0.168,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
260,0.003,0.000,43.723,0.168,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
260,0.006,0.000,43.712,0.168,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
260,0.001,0.000,43.685,0.168,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
260,0.003,0.000,43.682,0.168,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
258,0.001,0.000,43.572,0.169,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
6,0.001,0.000,33.777,5.629,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
134,0.000,0.000,31.858,0.238,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:382(_execute)
12,0.000,0.000,21.406,1.784,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:320(__attempt_submit)
14,0.000,0.000,21.364,1.526,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:92(click)
12,0.000,0.000,21.324,1.777,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:298(click_web_element_by_reference)
13,0.000,0.000,21.222,1.632,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:255(click_web_element)
6,0.000,0.000,20.592,3.432,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:181(set_valid_value_sequence)
6,0.000,0.000,20.592,3.432,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:292(__set_magic_value_sequence_for_input)
6,0.000,0.000,20.592,3.432,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:38(generate_inputs)
6,0.000,0.000,20.592,3.432,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:55(__generate_valid_inputs)
12,0.000,0.000,20.068,1.672,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:615(solve)
1113/437,0.006,0.000,19.647,0.045,{built-in method _functools.reduce}
337/128,0.001,0.000,19.644,0.153,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:844(chain_functions)
8649/1036,0.004,0.000,19.642,0.019,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:848(<lambda>)
8661/1048,0.009,0.000,19.642,0.019,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:757(__add__)
8649/1036,0.003,0.000,19.639,0.019,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:732(lazy_mplus)
6,0.000,0.000,19.596,3.266,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:1642(eliminate_all_semantic_formulas)
5,0.000,0.000,19.595,3.919,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2225(eliminate_semantic_formula)
5,0.000,0.000,19.345,3.869,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2314(<listcomp>)
5,0.001,0.000,19.345,3.869,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2351(solve_quantifier_free_formula)
49,0.002,0.000,19.308,0.394,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:2445(solve_smt_formulas_with_language_constraints)
