ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,29.408,29.408,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:111(run_analysis)
477,0.012,0.000,17.802,0.037,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
477,0.010,0.000,17.639,0.037,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
478,0.003,0.000,17.432,0.036,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
478,0.007,0.000,17.417,0.036,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
337,0.003,0.000,17.411,0.052,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
337,0.004,0.000,17.402,0.052,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
337,0.007,0.000,17.387,0.052,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
337,0.002,0.000,17.353,0.051,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
337,0.004,0.000,17.349,0.051,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
478,0.008,0.000,17.302,0.036,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
3480,0.006,0.000,17.294,0.005,{method 'readline' of '_io.BufferedReader' objects}
480,0.002,0.000,17.288,0.036,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
480,17.285,0.036,17.285,0.036,{method 'recv_into' of '_socket.socket' objects}
1,0.000,0.000,17.144,17.144,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:167(__start_constraint_extraction)
310,0.001,0.000,17.037,0.055,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
10,0.000,0.000,13.707,1.371,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:211(find_js_constraint_candidates)
10,0.001,0.000,11.486,1.149,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:223(__get_constraint_candidates_for_value_sequence)
179,0.001,0.000,10.490,0.059,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:382(_execute)
94,0.000,0.000,8.393,0.089,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:92(click)
