ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,19.582,19.582,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:111(run_analysis)
1,0.0,0.0,14.763,14.763,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:146(__analyse_html)
1,0.003,0.003,14.756,14.756,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:326(select_form)
1,0.0,0.0,3.255,3.255,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\prestashop.py:16(fill_cart)
1,0.0,0.0,2.506,2.506,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(load_page)
1,0.0,0.0,2.304,2.304,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:169(__start_constraint_extraction)
1,0.0,0.0,2.274,2.274,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:309(__exit)
1,0.0,0.0,0.03,0.03,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:233(__build_html_specification)
21,0.0,0.0,0.017,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:133(write_to_file)
10,0.0,0.0,0.017,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:421(write_specification_to_file)
18,0.0,0.0,0.009,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:360(create_specification_for_html_input)
8,0.0,0.0,0.007,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:749(__add_constraints_for_one_line_text)
1,0.0,0.0,0.006,0.006,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:323(__init__)
2,0.0,0.0,0.005,0.003,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\pattern_translation.py:32(convert_pattern_to_grammar)
2,0.0,0.0,0.005,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\pattern_translation.py:334(convert_pattern_to_cfg)
19,0.0,0.0,0.004,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:122(load_file_content)
