ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,34.699,34.699,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:115(run_analysis)
2,22.132,11.066,22.132,11.066,{built-in method builtins.input}
13,0.000,0.000,11.655,0.897,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
13,0.000,0.000,11.654,0.896,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
13,0.000,0.000,11.651,0.896,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
65,0.000,0.000,11.651,0.179,{method 'readline' of '_io.BufferedReader' objects}
15,0.000,0.000,11.651,0.777,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
15,11.651,0.777,11.651,0.777,{method 'recv_into' of '_socket.socket' objects}
12,0.000,0.000,11.588,0.966,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
12,0.000,0.000,11.588,0.966,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
12,0.000,0.000,11.587,0.966,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
12,0.000,0.000,11.586,0.965,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
12,0.000,0.000,11.586,0.965,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
12,0.000,0.000,11.583,0.965,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
12,0.000,0.000,11.579,0.965,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
10,0.000,0.000,11.497,1.150,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
2,0.000,0.000,10.563,5.281,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
1,0.000,0.000,10.293,10.293,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:212(load_page)
1,0.000,0.000,9.295,9.295,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:171(__analyse_html)
1,0.004,0.004,7.034,7.034,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:326(select_form)
3,0.000,0.000,2.545,0.848,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:808(create_connection)
2,0.000,0.000,2.544,1.272,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:112(is_connectable)
2,0.000,0.000,2.544,1.272,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\utils.py:94(is_connectable)
6,2.542,0.424,2.542,0.424,{method 'connect' of '_socket.socket' objects}
1,0.000,0.000,2.257,2.257,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:350(__exit)
1,0.000,0.000,2.257,2.257,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:65(quit)
1,0.000,0.000,2.201,2.201,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:185(quit)
1,0.000,0.000,2.117,2.117,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:130(stop)
1,0.000,0.000,2.114,2.114,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:117(send_remote_shutdown_command)
1,0.000,0.000,1.192,1.192,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:185(__init__)
1,0.000,0.000,1.177,1.177,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chrome\webdriver.py:29(__init__)
1,0.000,0.000,1.176,1.176,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:28(__init__)
1,0.001,0.001,0.651,0.651,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:162(__init__)
1,0.000,0.000,0.650,0.650,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:282(start_session)
1,0.000,0.000,0.555,0.555,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\redmine.py:15(login)
1,0.000,0.000,0.525,0.525,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:86(start)
3,0.000,0.000,0.249,0.083,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:382(_execute)
1,0.000,0.000,0.165,0.165,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:92(click)
2,0.000,0.000,0.089,0.044,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:82(request_encode_url)
1,0.000,0.000,0.088,0.088,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:139(urlopen)
1,0.000,0.000,0.087,0.087,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:500(open)
1,0.000,0.000,0.086,0.086,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:529(_open)
2,0.000,0.000,0.086,0.043,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:489(_call_chain)
1,0.000,0.000,0.086,0.086,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:1376(http_open)
1,0.000,0.000,0.086,0.086,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:1307(do_open)
2,0.000,0.000,0.084,0.042,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:194(send_keys)
1,0.000,0.000,0.084,0.084,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:459(quit)
1,0.000,0.000,0.056,0.056,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\server.py:77(shutdown)
1,0.000,0.000,0.056,0.056,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\storage.py:316(cleanup)
1,0.000,0.000,0.055,0.055,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\storage.py:279(clear_requests)
63,0.000,0.000,0.055,0.001,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\shutil.py:687(rmtree)
