ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,68.249,68.249,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
2129,0.045,0.000,41.916,0.020,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
2129,0.035,0.000,41.236,0.019,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
1536,0.011,0.000,40.350,0.026,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
1536,0.016,0.000,40.315,0.026,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
1536,0.029,0.000,40.258,0.026,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
2130,0.010,0.000,40.121,0.019,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
1536,0.007,0.000,40.111,0.026,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
1536,0.016,0.000,40.097,0.026,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
2130,0.025,0.000,40.069,0.019,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
2130,0.025,0.000,39.631,0.019,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
15343,0.023,0.000,39.608,0.003,{method 'readline' of '_io.BufferedReader' objects}
4855,0.012,0.000,39.604,0.008,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
4855,39.587,0.008,39.587,0.008,{method 'recv_into' of '_socket.socket' objects}
1150,0.005,0.000,37.976,0.033,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:98(request_encode_body)
1,0.001,0.001,35.886,35.886,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:175(__start_constraint_extraction)
16,0.002,0.000,32.225,2.014,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
512,0.015,0.000,26.069,0.051,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:316(write_to_web_element_by_reference_with_clear)
887,0.004,0.000,24.984,0.028,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:382(_execute)
32,0.003,0.000,20.125,0.629,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:197(fill_with_valid_values)
1,0.000,0.000,19.345,19.345,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:152(__analyse_html)
2,19.331,9.666,19.331,9.666,{built-in method builtins.input}
1,0.002,0.002,10.734,10.734,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:329(select_form)
2,0.000,0.000,10.705,5.353,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:353(get)
1,0.000,0.000,10.494,10.494,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:239(load_page)
245,0.001,0.000,10.191,0.042,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:92(click)
130,0.001,0.000,10.132,0.078,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webelement.py:194(send_keys)
128,0.001,0.000,10.060,0.079,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:265(write_to_web_element)
244,0.001,0.000,9.956,0.041,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:255(click_web_element)
1,0.000,0.000,8.609,8.609,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:363(extract_static_constraints)
384,0.002,0.000,7.290,0.019,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:364(write_to_checkbox_with_clear)
32,0.001,0.000,5.189,0.162,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:320(__attempt_submit)
32,0.000,0.000,5.018,0.157,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:298(click_web_element_by_reference)
16,0.000,0.000,3.594,0.225,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:181(set_valid_value_sequence)
16,0.000,0.000,3.594,0.225,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:292(__set_magic_value_sequence_for_input)
16,0.000,0.000,3.594,0.225,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:38(generate_inputs)
16,0.000,0.000,3.593,0.225,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:55(__generate_valid_inputs)
593,0.005,0.000,3.552,0.006,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\requests\api.py:14(request)
592,0.006,0.000,3.542,0.006,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\requests\api.py:103(post)
547,0.004,0.000,3.427,0.006,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:714(find_element)
544,0.002,0.000,3.392,0.006,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:272(get_web_element_by_reference)
593,0.007,0.000,3.391,0.006,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\requests\sessions.py:502(request)
544,0.005,0.000,3.157,0.006,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(record_trace)
32,0.000,0.000,3.144,0.098,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\solver.py:615(solve)
1175/637,0.007,0.000,2.749,0.004,{built-in method _functools.reduce}
527/352,0.001,0.000,2.747,0.008,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\isla\helpers.py:844(chain_functions)
