ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,23.692,23.692,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:94(run_analysis)
1,0.000,0.000,23.052,23.052,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:134(__analyse_html)
1,0.000,0.000,20.749,20.749,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:278(select_form)
1,20.732,20.732,20.732,20.732,{built-in method builtins.input}
1,0.000,0.000,6.974,6.974,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\suitecrm.py:17(setup)
4,6.511,1.628,6.511,1.628,{built-in method time.sleep}
3,0.000,0.000,2.537,0.846,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:808(create_connection)
2,0.000,0.000,2.536,1.268,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:112(is_connectable)
2,0.000,0.000,2.536,1.268,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\utils.py:94(is_connectable)
6,2.535,0.422,2.535,0.422,{method 'connect' of '_socket.socket' objects}
1,0.000,0.000,2.298,2.298,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:284(__exit)
1,0.000,0.000,2.298,2.298,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\seleniumwire\webdriver.py:65(quit)
1,0.000,0.000,2.203,2.203,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\chromium\webdriver.py:185(quit)
1,0.000,0.000,2.131,2.131,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:130(stop)
1,0.000,0.000,2.131,2.131,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\common\service.py:117(send_remote_shutdown_command)
18,0.000,0.000,2.075,0.115,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:1330(getresponse)
18,0.000,0.000,2.075,0.115,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:311(begin)
18,0.000,0.000,2.071,0.115,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\http\client.py:278(_read_status)
90,0.000,0.000,2.071,0.023,{method 'readline' of '_io.BufferedReader' objects}
20,0.000,0.000,2.070,0.104,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\socket.py:691(readinto)
20,2.070,0.104,2.070,0.104,{method 'recv_into' of '_socket.socket' objects}
17,0.000,0.000,2.000,0.118,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\webdriver.py:326(execute)
17,0.000,0.000,1.999,0.118,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:272(execute)
17,0.000,0.000,1.998,0.118,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\selenium\webdriver\remote\remote_connection.py:292(_request)
17,0.000,0.000,1.996,0.117,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\request.py:58(request)
17,0.000,0.000,1.995,0.117,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\poolmanager.py:353(urlopen)
17,0.000,0.000,1.992,0.117,C:\Users\Björn\AppData\Local\Programs\Python\Python310\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
