ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,6.994,6.994,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\suitecrm.py:17(setup)
1,0.0,0.0,5.543,5.543,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:111(run_analysis)
1,0.0,0.0,4.875,4.875,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:146(__analyse_html)
1,0.0,0.0,2.566,2.566,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:326(select_form)
1,0.0,0.0,2.304,2.304,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:307(__exit)
1,0.0,0.0,0.649,0.649,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\suitecrm.py:38(wait_for_form)
1,0.0,0.0,0.011,0.011,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(load_page)
1,0.0,0.0,0.004,0.004,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:323(__init__)
1,0.0,0.0,0.001,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:354(extract_static_constraints)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:29(__init__)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:496(__init__)
