ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,8.307,8.307,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:101(run_analysis)
1,0.0,0.0,7.219,7.219,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:159(__analyse_html)
1,0.0,0.0,6.929,6.929,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\suitecrm.py:17(setup)
1,0.0,0.0,4.948,4.948,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:329(select_form)
1,0.0,0.0,2.265,2.265,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:344(__exit)
1,0.0,0.0,1.354,1.354,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:46(__init__)
1,0.0,0.0,1.06,1.06,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\suitecrm.py:38(wait_for_form)
1,0.0,0.0,0.021,0.021,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:263(load_page)
1,0.0,0.0,0.004,0.004,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:325(__init__)
1,0.001,0.001,0.001,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:363(extract_static_constraints)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:59(instrument_files)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:482(get_chromedriver_for_platform)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\util\helpers.py:41(save_profiling)
5,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\util\helpers.py:32(save_stat)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:33(__init__)
