ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,115.615,115.615,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\wordpress.py:17(setup)
1,0.0,0.0,54.197,54.197,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:111(run_analysis)
1,0.0,0.0,48.13,48.13,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:169(__start_constraint_extraction)
9,0.0,0.0,43.713,4.857,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:217(find_js_constraint_candidates)
9,0.002,0.0,39.175,4.353,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:229(__get_constraint_candidates_for_value_sequence)
450,0.018,0.0,30.218,0.067,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:279(write_to_web_element_by_reference_with_clear)
45,0.004,0.0,27.264,0.606,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:194(fill_with_valid_values)
350,0.002,0.0,12.612,0.036,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:230(write_to_web_element)
189,0.001,0.0,10.947,0.058,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:223(click_web_element)
18,0.0,0.0,8.926,0.496,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:37(generate_inputs)
18,0.001,0.0,8.926,0.496,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:54(__generate_valid_inputs)
45,0.001,0.0,8.025,0.178,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:303(__attempt_submit)
45,0.0,0.0,7.744,0.172,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:263(click_web_element_by_reference)
350,0.001,0.0,7.196,0.021,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:216(clear_web_element)
9,0.0,0.0,4.388,0.488,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:178(set_valid_value_sequence)
9,0.0,0.0,4.388,0.488,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:275(__set_magic_value_sequence_for_input)
100,0.001,0.0,4.133,0.041,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:327(write_to_checkbox_with_clear)
1,0.0,0.0,3.596,3.596,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:207(load_page)
495,0.002,0.0,3.557,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:237(get_web_element_by_reference)
495,0.006,0.0,3.279,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:179(record_trace)
1,0.0,0.0,2.461,2.461,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:307(__exit)
108,0.001,0.0,0.734,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:146(set_trace_recording_flag)
9,0.0,0.0,0.069,0.008,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:166(stop_trace_recording)
9,0.0,0.0,0.063,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:192(get_constraint_candidates)
9,0.0,0.0,0.059,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:153(start_trace_recording)
1,0.0,0.0,0.029,0.029,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:231(__build_html_specification)
19,0.0,0.0,0.02,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:133(write_to_file)
9,0.0,0.0,0.019,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:421(write_specification_to_file)
450,0.003,0.0,0.005,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:269(update_value_map)
18,0.0,0.0,0.005,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:360(create_specification_for_html_input)
1,0.0,0.0,0.005,0.005,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:146(__analyse_html)
18,0.0,0.0,0.004,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:122(load_file_content)
10,0.0,0.0,0.002,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:749(__add_constraints_for_one_line_text)
1,0.001,0.001,0.002,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:354(extract_static_constraints)
1,0.002,0.002,0.002,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:326(select_form)
1,0.0,0.0,0.001,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:323(__init__)
464,0.001,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:21(__hash__)
1,0.0,0.0,0.001,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:410(__extract_static_constraints_from_inputs)
2,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:816(__add_constraints_for_url)
2,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:617(__add_constraints_for_email)
4,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:525(__add_constraints_for_binary)
478,0.001,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:15(get_as_dict)
54,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:32(__str__)
45,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:109(get_current_values_from_form)
