ncalls,tottime,percall,cumtime,percall.1,filename:lineno(function)
1,0.0,0.0,225.621,225.621,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:99(run_analysis)
1,0.002,0.002,203.953,203.953,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:173(__start_constraint_extraction)
9,0.003,0.0,199.234,22.137,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:239(get_constraint_candidates_for_value_sequence)
162,0.008,0.0,115.765,0.715,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:284(write_to_web_element_by_reference_with_clear)
70,0.0,0.0,109.176,1.56,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:228(click_web_element)
18,0.001,0.0,81.893,4.55,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:320(__attempt_submit)
18,0.0,0.0,81.702,4.539,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:268(click_web_element_by_reference)
126,0.001,0.0,55.552,0.441,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:235(write_to_web_element)
36,0.0,0.0,28.147,0.782,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:332(write_to_checkbox_with_clear)
126,0.0,0.0,27.909,0.221,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:221(clear_web_element)
1,0.0,0.0,16.417,16.417,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:329(__exit)
18,0.001,0.0,12.747,0.708,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:197(fill_with_valid_values)
1,0.0,0.0,5.229,5.229,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:212(load_page)
9,0.0,0.0,4.687,0.521,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:181(set_valid_value_sequence)
9,0.0,0.0,4.687,0.521,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:292(__set_magic_value_sequence_for_input)
9,0.0,0.0,4.687,0.521,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:37(generate_inputs)
9,0.0,0.0,4.687,0.521,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:54(__generate_valid_inputs)
1,0.0,0.0,4.007,4.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\evaluation\wordpress.py:18(setup)
180,0.002,0.0,2.585,0.014,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:180(record_trace)
180,0.001,0.0,2.079,0.012,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:242(get_web_element_by_reference)
1,0.0,0.0,1.424,1.424,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:57(__init__)
54,0.0,0.0,0.695,0.013,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:147(set_trace_recording_flag)
9,0.0,0.0,0.669,0.074,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:193(get_constraint_candidates)
9,0.0,0.0,0.142,0.016,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:167(stop_trace_recording)
9,0.0,0.0,0.133,0.015,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:199(split_on_newline)
9,0.0,0.0,0.062,0.007,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:154(start_trace_recording)
1,0.0,0.0,0.028,0.028,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:251(__build_html_specification)
19,0.0,0.0,0.018,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:134(write_to_file)
9,0.0,0.0,0.017,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:438(write_specification_to_file)
18,0.0,0.0,0.006,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:377(create_specification_for_html_input)
18,0.0,0.0,0.005,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:123(load_file_content)
18,0.0,0.0,0.005,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:294(decode_bytes)
1,0.0,0.0,0.004,0.004,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\interaction\driver.py:150(__analyse_html)
162,0.001,0.0,0.002,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:274(update_value_map)
10,0.0,0.0,0.002,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:769(__add_constraints_for_one_line_text)
1,0.002,0.002,0.002,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:327(select_form)
1,0.0,0.0,0.002,0.002,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:323(__init__)
2,0.0,0.0,0.002,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:836(__add_constraints_for_url)
4,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:545(__add_constraints_for_binary)
2,0.0,0.0,0.001,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:637(__add_constraints_for_email)
1,0.0,0.0,0.001,0.001,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:361(extract_static_constraints)
196,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:21(__hash__)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:422(__extract_static_constraints_from_inputs)
199,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:15(get_as_dict)
18,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:32(__str__)
9,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:452(add_constraints_to_current_specification)
18,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:110(get_current_values_from_form)
27,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:247(get_as_dict)
1,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\proxy\interception.py:59(instrument_files)
9,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:255(get_representation)
18,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\utility\helpers.py:106(clear_value_mapping)
9,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:149(__str__)
10,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:491(__get_element_reference)
13,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:35(__init__)
13,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:428(<lambda>)
25,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:216(set_by_name)
27,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:24(__eq__)
18,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:302(<lambda>)
27,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:224(get_as_dict)
54,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:188(type)
9,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\constraint_extraction.py:135(__init__)
9,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:232(__init__)
49,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:220(get_attributes)
18,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\generation\input_generation.py:17(__init__)
9,0.0,0.0,0.0,0.0,C:\Users\Björn\Documents\git\invariant-based-web-form-testing\automation\src\analysis\html_analysis.py:487(<lambda>)
